LivingArea,NumBedrooms,Pool,ClosePrice,DwellingType,num_baths
1080.0,2,None,132400.0,Single Family - Detached,1.0
1296.0,2,None,59900.0,Mfg/Mobile Housing,2.0
1498.0,3,None,118700.0,Mfg/Mobile Housing,2.0
1184.0,2,Community,130000.0,Apartment Style/Flat,2.0
1863.0,4,None,162000.0,Single Family - Detached,2.0
3195.0,4,None,410000.0,Single Family - Detached,3.5
2506.0,4,None,320000.0,Single Family - Detached,2.0
1415.0,3,None,151000.0,Single Family - Detached,2.0
2475.0,3,None,150000.0,Townhouse,4.0
616.0,1,Community,72000.0,Apartment Style/Flat,1.0
1864.0,4,None,175000.0,Single Family - Detached,2.0
1500.0,4,None,214750.0,Single Family - Detached,2.0
864.0,2,None,30000.0,Single Family - Detached,1.0
3183.0,5,None,430000.0,Single Family - Detached,4.0
1459.0,3,None,215000.0,Single Family - Detached,2.0
1119.0,2,Community,125000.0,Townhouse,2.5
3250.0,4,Community,399967.0,Single Family - Detached,3.0
744.0,2,Community,41250.0,Apartment Style/Flat,1.0
1567.0,3,None,209000.0,Single Family - Detached,2.0
1653.0,3,None,132000.0,Single Family - Detached,2.0
1040.0,3,Community,130000.0,Townhouse,2.0
3401.0,4,None,207000.0,Single Family - Detached,3.0
1532.0,3,Private,197000.0,Single Family - Detached,2.0
1355.0,2,Community,169900.0,Single Family - Detached,2.0
2667.0,3,Private,291000.0,Single Family - Detached,2.5
1127.0,3,None,193000.0,Single Family - Detached,2.0
4546.0,4,Private,1600000.0,Single Family - Detached,3.5
2856.0,3,Community,392500.0,Patio Home,3.0
1200.0,2,None,226000.0,Single Family - Detached,1.0
1200.0,3,None,177500.0,Single Family - Detached,2.0
1472.0,3,None,145000.0,Single Family - Detached,2.0
1480.0,4,None,160000.0,Single Family - Detached,2.0
4108.0,4,Private,585000.0,Single Family - Detached,3.5
2031.0,4,Private,279500.0,Single Family - Detached,2.0
972.0,2,Private,112000.0,Single Family - Detached,1.0
1238.0,3,Private,139000.0,Single Family - Detached,2.0
1860.0,3,Community,205000.0,Single Family - Detached,2.5
1296.0,3,None,90000.0,Single Family - Detached,2.0
1413.0,2,Community,204000.0,Single Family - Detached,2.0
1625.0,3,None,138000.0,Single Family - Detached,2.0
1108.0,2,Community,78000.0,Patio Home,2.0
4098.0,5,Community,487500.0,Single Family - Detached,3.5
1576.0,4,None,169000.0,Single Family - Detached,2.0
2167.0,3,Both Private & Community,430000.0,Single Family - Detached,2.0
3230.0,4,Private,470000.0,Single Family - Detached,3.5
1356.0,2,Community,135750.0,Single Family - Detached,2.0
1425.0,3,None,174000.0,Single Family - Detached,2.0
1243.0,2,None,114500.0,Single Family - Detached,2.0
2021.0,2,Community,261800.0,Single Family - Detached,2.0
1598.0,3,None,139000.0,Single Family - Detached,2.0
2275.0,3,Community,146599.0,Single Family - Detached,2.5
1839.0,4,None,135000.0,Single Family - Detached,2.5
2072.0,3,Community,250000.0,Single Family - Detached,3.0
1670.0,4,Private,220000.0,Single Family - Detached,2.0
1514.0,4,None,140000.0,Single Family - Detached,2.0
1075.0,3,None,47000.0,Single Family - Detached,2.0
1090.0,2,Community,174900.0,Single Family - Detached,2.0
1605.0,3,Community,139000.0,Single Family - Detached,2.0
1411.0,3,None,105000.0,Single Family - Detached,1.5
